Order_Number,State_Code,Order_Date,Status,Product,Category,Brand,Quantity,Total_Cost,Total_Sales,Supervisor,Profit,Profit_Margin_Pct,Order_Year,Order_Month,Is_Delivered
139389,MN,2020-01-20,Processing,Gaming Box Cabinet,Cabinet,Asus,1,2680,3484,Aarvi Gupta,804,23.08,2020,1,0
139390,ML,2020-01-21,Processing,17 LCD Display,Monitor,Samsung,2,16500,21450,Vijay Singh,4950,23.08,2020,1,0
139391,MZ,2020-01-22,Processing,8 GB DDR4 RAM,RAM,Samsung,4,10600,13780,Aadil Khan,3180,23.08,2020,1,0
139392,NL,2020-01-22,Processing,26 LCD Display,Monitor,Acer,2,25100,32630,Advika Joshi,7530,23.08,2020,1,0
139393,OR,2020-01-22,Processing,I7 - intel 12th Generation,CPU,Intel,2,29000,37700,Ajay Sharma,8700,23.08,2020,1,0
139394,PB,2020-01-22,Processing,USB Keyboard,Keyboard,Dell,1,800,1040,Roshan Kumar,240,23.08,2020,1,0
139395,RJ,2020-01-22,Processing,Wireless Mouse,Mouse,Samsung,3,1800,2340,Aarvi Gupta,540,23.08,2020,1,0
139396,SK,2020-01-22,Processing,21 LCD Display,Monitor,Dell,4,42000,54600,Vijay Singh,12600,23.08,2020,1,0
139397,TN,2020-01-23,Processing,2 TB HDD,HDD,Western Digital,1,6500,8450,Aadil Khan,1950,23.08,2020,1,0
139398,TR,2020-01-24,Processing,257 GB SSD,SSD,Samsung,4,18000,23400,Ajay Sharma,5400,23.08,2020,1,0
139399,UK,2020-01-25,Processing,Intel i3 11th gen.,CPU,Intel,2,17000,22100,Roshan Kumar,5100,23.08,2020,1,0
139400,UP,2020-01-26,Processing,4GB Graphic card,Graphic Card,Nvidia,2,25000,32500,Aarvi Gupta,7500,23.08,2020,1,0
139401,WB,2020-01-26,Shipped,9 GB DDR4 RAM,Cabinet,Hynix,3,10500,13650,Vijay Singh,3150,23.08,2020,1,0
139402,TN,2020-01-26,Order,BTX motherboard,Mouse,Gigabyte,4,18000,23400,Aadil Khan,5400,23.08,2020,1,0
139403,TR,2020-01-26,Order,4 Fans Cabinet,Cabinet,Asus,3,6300,8190,Advika Joshi,1890,23.08,2020,1,0
139404,AN,2020-01-27,Order,Wireless Keyboard,Keyboard,Dell,3,3450,4485,Ajay Sharma,1035,23.08,2020,1,0
139405,CH,2020-01-28,Order,USB Mouse,Mouse,Samsung,1,350,455,Roshan Kumar,105,23.08,2020,1,0
139406,CH,2020-01-29,Order,19 LED Display,Monitor,Dell,3,28500,37050,Aarvi Gupta,8550,23.08,2020,1,0
139407,CH,2020-01-30,Processing,3 TB HDD,HDD,Western Digital,1,10000,13000,Vijay Singh,3000,23.08,2020,1,0
139408,CH,2020-01-31,Delivered,513 GB M.2,SSD,Samsung,3,19500,25350,Aadil Khan,5850,23.08,2020,1,1
139409,CH,2020-02-01,Shipped,RYZEN 3rd gen. 3501,CPU,Intel,4,34000,44200,Advika Joshi,10200,23.08,2020,2,0
139410,CH,2020-02-01,Shipped,2GB Graphic Card,Graphic Card,Nvidia,3,21000,27300,Ajay Sharma,6300,23.08,2020,2,0
139411,CH,2020-02-01,Shipped,17 GB DDR4 RAM,Cabinet,Hynix,3,19650,25545,Roshan Kumar,5895,23.08,2020,2,0
139412,AR,2020-02-01,Shipped,Standard ATX motherboard,Mouse,Gigabyte,3,22950,29835,Aarvi Gupta,6885,23.08,2020,2,0
139413,AS,2020-02-02,Shipped,Compact with 1 Fan,Cabinet,Asus,1,1150,1495,Vijay Singh,345,23.08,2020,2,0
139414,BR,2020-02-03,Shipped,USB Backlight Keyboard,Keyboard,Dell,1,850,1105,Aadil Khan,255,23.08,2020,2,0
139415,CG,2020-02-03,Shipped,Ergonomic Mouse,Mouse,Samsung,2,1300,1690,Ajay Sharma,390,23.08,2020,2,0
139416,GA,2020-02-03,Shipped,15 LCD Display,Monitor,Dell,1,7500,9750,Roshan Kumar,2250,23.08,2020,2,0
139417,GJ,2020-02-04,Shipped,3 TB HDD,HDD,Seagate,3,30000,39000,Aarvi Gupta,9000,23.08,2020,2,0
139418,GJ,2020-02-05,Shipped,2 TB SSD,SSD,Samsung,2,21000,27300,Vijay Singh,6300,23.08,2020,2,0
139419,GJ,2020-02-06,Processing,Intel i5 12th gen.,CPU,Intel,4,34000,44200,Aadil Khan,10200,23.08,2020,2,0
139420,GJ,2020-02-07,Delivered,2GB Graphic Card,Graphic Card,Nvidia,4,28000,36400,Advika Joshi,8400,23.08,2020,2,1
139421,GJ,2020-02-08,Shipped,5 GB DDR4 Ram,Cabinet,Hynix,2,3360,4368,Ajay Sharma,1008,23.08,2020,2,0
139422,GJ,2020-02-09,Order,Micro ATX motherboard,Mouse,MSI,1,6540,8502,Roshan Kumar,1962,23.08,2020,2,0
139423,KL,2020-02-10,Processing,Gaming Box Cabinet,Cabinet,Asus,1,2680,3484,Aarvi Gupta,804,23.08,2020,2,0
139424,MP,2020-02-11,Delivered,17 LCD Display,Monitor,Samsung,1,8250,10725,Vijay Singh,2475,23.08,2020,2,1
139425,MH,2020-02-12,Shipped,9 GB DDR4 RAM,RAM,Samsung,3,7950,10335,Aadil Khan,2385,23.08,2020,2,0
139426,MN,2020-02-13,Order,26 LCD Display,Monitor,Acer,3,37650,48945,Advika Joshi,11295,23.08,2020,2,0
139427,ML,2020-02-14,Processing,I7 - intel 12th Generation,CPU,Intel,3,43500,56550,Ajay Sharma,13050,23.08,2020,2,0
139428,MZ,2020-02-15,Delivered,USB Keyboard,Keyboard,Dell,3,2400,3120,Roshan Kumar,720,23.08,2020,2,1
139429,NL,2020-02-16,Shipped,Wireless Mouse,Mouse,Samsung,3,1800,2340,Aarvi Gupta,540,23.08,2020,2,0
139430,OR,2020-02-17,Order,21 LCD Display,Monitor,Dell,3,31500,40950,Vijay Singh,9450,23.08,2020,2,0
139431,PB,2020-02-18,Processing,3 TB HDD,HDD,Western Digital,2,13000,16900,Aadil Khan,3900,23.08,2020,2,0
139432,RJ,2020-02-19,Delivered,258 GB SSD,SSD,Samsung,2,9000,11700,Advika Joshi,2700,23.08,2020,2,1
139433,SK,2020-02-19,Shipped,Intel i3 11th gen.,CPU,Intel,2,17000,22100,Ajay Sharma,5100,23.08,2020,2,0
139434,TN,2020-02-19,Order,4GB Graphic card,Graphic Card,Nvidia,4,50000,65000,Roshan Kumar,15000,23.08,2020,2,0
139435,TN,2020-02-19,Processing,10 GB DDR4 RAM,NIC,Hynix,2,7000,9100,Aarvi Gupta,2100,23.08,2020,2,0
139436,TN,2020-02-20,Delivered,BTX motherboard,Printer,Gigabyte,2,9000,11700,Vijay Singh,2700,23.08,2020,2,1
139437,TN,2020-02-21,Shipped,5 Fans Cabinet,Cabinet,Asus,3,6300,8190,Aadil Khan,1890,23.08,2020,2,0
139438,WB,2020-02-22,Order,Wireless Keyboard,Keyboard,Dell,1,1150,1495,Advika Joshi,345,23.08,2020,2,0
139439,TN,2020-02-23,Processing,USB Mouse,Mouse,Samsung,1,350,455,Ajay Sharma,105,23.08,2020,2,0
139440,TR,2020-02-24,Delivered,19 LED Display,Monitor,Dell,1,9500,12350,Roshan Kumar,2850,23.08,2020,2,1
139441,AN,2020-02-25,Shipped,4 TB HDD,HDD,Western Digital,1,10000,13000,Aarvi Gupta,3000,23.08,2020,2,0
139442,CH,2020-02-26,Order,514 GB M.2,SSD,Samsung,3,19500,25350,Vijay Singh,5850,23.08,2020,2,0
139443,DH,2020-02-27,Processing,RYZEN 3rd gen. 3502,CPU,Intel,3,25500,33150,Aadil Khan,7650,23.08,2020,2,0
139444,DD,2020-02-28,Delivered,2GB Graphic Card,Graphic Card,Nvidia,1,7000,9100,Advika Joshi,2100,23.08,2020,2,1
139445,DL,2020-02-29,Shipped,18 GB DDR4 RAM,NIC,Hynix,2,13100,17030,Ajay Sharma,3930,23.08,2020,2,0
139446,LD,2020-03-01,Order,Standard ATX motherboard,Printer,Gigabyte,3,22950,29835,Roshan Kumar,6885,23.08,2020,3,0
139447,PY,2020-03-02,Processing,Compact with 1 Fan,Cabinet,Asus,2,2300,2990,Aarvi Gupta,690,23.08,2020,3,0
139448,AP,2020-03-03,Delivered,USB Backlight Keyboard,Keyboard,Dell,1,850,1105,Vijay Singh,255,23.08,2020,3,1
139449,AR,2020-03-04,Shipped,Ergonomic Mouse,Mouse,Samsung,3,1950,2535,Aadil Khan,585,23.08,2020,3,0
139450,AS,2020-03-05,Order,15 LCD Display,Monitor,Dell,4,30000,39000,Advika Joshi,9000,23.08,2020,3,0
139451,BR,2020-03-06,Processing,4 TB HDD,HDD,Seagate,2,20000,26000,Roshan Kumar,6000,23.08,2020,3,0
139452,CG,2020-03-07,Delivered,3 TB SSD,SSD,Samsung,3,31500,40950,Aarvi Gupta,9450,23.08,2020,3,1
139453,GA,2020-03-07,Shipped,Intel i5 12th gen.,CPU,Intel,3,25500,33150,Vijay Singh,7650,23.08,2020,3,0
139454,GJ,2020-03-07,Order,2GB Graphic Card,Graphic Card,Nvidia,2,14000,18200,Aadil Khan,4200,23.08,2020,3,0
139455,HR,2020-03-07,Processing,6 GB DDR4 Ram,NIC,Hynix,4,6720,8736,Advika Joshi,2016,23.08,2020,3,0
139456,HR,2020-03-07,Delivered,Micro ATX motherboard,Printer,MSI,1,6540,8502,Ajay Sharma,1962,23.08,2020,3,1
139457,HR,2020-03-07,Shipped,Gaming Box Cabinet,Cabinet,Asus,3,8040,10452,Roshan Kumar,2412,23.08,2020,3,0
139458,HR,2020-03-07,Order,17 LCD Display,Monitor,Samsung,2,16500,21450,Aarvi Gupta,4950,23.08,2020,3,0
139459,HR,2020-03-08,Processing,10 GB DDR4 RAM,RAM,Samsung,3,7950,10335,Vijay Singh,2385,23.08,2020,3,0
139460,HR,2020-03-09,Delivered,26 LCD Display,Monitor,Acer,1,12550,16315,Aadil Khan,3765,23.08,2020,3,1
139461,MP,2020-03-10,Shipped,I7 - intel 12th Generation,CPU,Intel,1,14500,18850,Advika Joshi,4350,23.08,2020,3,0
139462,MH,2020-03-11,Order,USB Keyboard,Keyboard,Dell,2,1600,2080,Ajay Sharma,480,23.08,2020,3,0
139463,MN,2020-03-12,Processing,Wireless Mouse,Mouse,Samsung,1,600,780,Roshan Kumar,180,23.08,2020,3,0
139464,ML,2020-03-13,Delivered,21 LCD Display,Monitor,Dell,1,10500,13650,Aarvi Gupta,3150,23.08,2020,3,1
139465,MZ,2020-03-14,Shipped,4 TB HDD,HDD,Western Digital,3,19500,25350,Vijay Singh,5850,23.08,2020,3,0
139466,NL,2020-03-15,Order,259 GB SSD,SSD,Samsung,2,9000,11700,Aadil Khan,2700,23.08,2020,3,0
139467,OR,2020-03-16,Processing,Intel i3 11th gen.,CPU,Intel,1,8500,11050,Advika Joshi,2550,23.08,2020,3,0
139468,PB,2020-03-16,Delivered,4GB Graphic card,Graphic Card,Nvidia,3,37500,48750,Ajay Sharma,11250,23.08,2020,3,1
139469,RJ,2020-03-16,Shipped,11 GB DDR4 RAM,RAM,Hynix,1,3500,4550,Roshan Kumar,1050,23.08,2020,3,0
139470,SK,2020-03-16,Order,BTX motherboard,MotherBoard,Gigabyte,4,18000,23400,Aarvi Gupta,5400,23.08,2020,3,0
139471,TN,2020-03-16,Processing,6 Fans Cabinet,Cabinet,Asus,3,6300,8190,Vijay Singh,1890,23.08,2020,3,0
139472,TR,2020-03-16,Delivered,Wireless Keyboard,Keyboard,Dell,4,4600,5980,Aadil Khan,1380,23.08,2020,3,1
139473,UK,2020-03-16,Shipped,USB Mouse,Mouse,Samsung,3,1050,1365,Advika Joshi,315,23.08,2020,3,0
139474,UP,2020-03-16,Order,19 LED Display,Monitor,Dell,3,28500,37050,Ajay Sharma,8550,23.08,2020,3,0
139475,UP,2020-03-16,Processing,5 TB HDD,HDD,Western Digital,1,10000,13000,Roshan Kumar,3000,23.08,2020,3,0
139476,UP,2020-03-16,Delivered,515 GB M.2,SSD,Samsung,2,13000,16900,Aarvi Gupta,3900,23.08,2020,3,1
139477,UP,2020-03-17,Shipped,RYZEN 3rd gen. 3503,CPU,Intel,1,8500,11050,Vijay Singh,2550,23.08,2020,3,0
139478,UP,2020-03-18,Order,2GB Graphic Card,Graphic Card,Nvidia,3,21000,27300,Aadil Khan,6300,23.08,2020,3,0
139479,UP,2020-03-18,Processing,19 GB DDR4 RAM,RAM,Hynix,2,13100,17030,Advika Joshi,3930,23.08,2020,3,0
139480,UP,2020-03-18,Delivered,Standard ATX motherboard,MotherBoard,Gigabyte,4,30600,39780,Ajay Sharma,9180,23.08,2020,3,1
139481,UP,2020-03-18,Shipped,Compact with 1 Fan,Cabinet,Asus,2,2300,2990,Roshan Kumar,690,23.08,2020,3,0
139482,UP,2020-03-18,Order,USB Backlight Keyboard,Keyboard,Dell,4,3400,4420,Aarvi Gupta,1020,23.08,2020,3,0
139483,UP,2020-03-18,Processing,Ergonomic Mouse,Mouse,Samsung,4,2600,3380,Vijay Singh,780,23.08,2020,3,0
139484,UP,2020-03-18,Delivered,15 LCD Display,Monitor,Dell,1,7500,9750,Aadil Khan,2250,23.08,2020,3,1
139485,UP,2020-03-18,Shipped,5 TB HDD,HDD,Seagate,2,20000,26000,Advika Joshi,6000,23.08,2020,3,0
139486,UP,2020-03-19,Order,4 TB SSD,SSD,Samsung,3,31500,40950,Ajay Sharma,9450,23.08,2020,3,0
139487,UP,2020-03-19,Processing,Intel i5 12th gen.,CPU,Intel,4,34000,44200,Roshan Kumar,10200,23.08,2020,3,0
139488,BR,2020-03-19,Delivered,2GB Graphic Card,Graphic Card,Nvidia,1,7000,9100,Aarvi Gupta,2100,23.08,2020,3,1
139489,CG,2020-03-19,Shipped,7 GB DDR4 Ram,RAM,Hynix,2,3360,4368,Vijay Singh,1008,23.08,2020,3,0
139490,GA,2020-03-19,Order,Micro ATX motherboard,MotherBoard,MSI,2,13080,17004,Aadil Khan,3924,23.08,2020,3,0
139491,GJ,2020-03-19,Processing,Gaming Box Cabinet,Cabinet,Asus,1,2680,3484,Advika Joshi,804,23.08,2020,3,0
139492,GJ,2020-03-19,Delivered,17 LCD Display,Monitor,Samsung,1,8250,10725,Ajay Sharma,2475,23.08,2020,3,1
139493,GJ,2020-03-20,Shipped,11 GB DDR4 RAM,RAM,Samsung,3,7950,10335,Roshan Kumar,2385,23.08,2020,3,0
139494,GJ,2020-03-21,Order,26 LCD Display,Monitor,Acer,4,50200,65260,Aarvi Gupta,15060,23.08,2020,3,0
139495,GJ,2020-03-22,Processing,I7 - intel 12th Generation,CPU,Intel,1,14500,18850,Aadil Khan,4350,23.08,2020,3,0
139496,GJ,2020-03-23,Delivered,USB Keyboard,Keyboard,Dell,2,1600,2080,Advika Joshi,480,23.08,2020,3,1
139497,GJ,2020-03-24,Shipped,Wireless Mouse,Mouse,Samsung,3,1800,2340,Ajay Sharma,540,23.08,2020,3,0
139498,MP,2020-03-24,Order,21 LCD Display,Monitor,Dell,1,10500,13650,Roshan Kumar,3150,23.08,2020,3,0
139499,MH,2020-03-24,Processing,5 TB HDD,HDD,Western Digital,1,6500,8450,Aarvi Gupta,1950,23.08,2020,3,0
139500,MH,2020-03-24,Delivered,260 GB SSD,SSD,Samsung,1,4500,5850,Vijay Singh,1350,23.08,2020,3,1
139501,MH,2020-03-24,Shipped,Intel i3 11th gen.,CPU,Intel,4,34000,44200,Aadil Khan,10200,23.08,2020,3,0
139502,MH,2020-03-24,Order,4GB Graphic card,Graphic Card,Nvidia,4,50000,65000,Advika Joshi,15000,23.08,2020,3,0
139503,MH,2020-03-24,Processing,12 GB DDR4 RAM,Cabinet,Hynix,3,10500,13650,Ajay Sharma,3150,23.08,2020,3,0
139504,MH,2020-03-24,Delivered,BTX motherboard,Mouse,Gigabyte,4,18000,23400,Roshan Kumar,5400,23.08,2020,3,1
139505,MH,2020-03-24,Shipped,7 Fans Cabinet,Cabinet,Asus,3,6300,8190,Aarvi Gupta,1890,23.08,2020,3,0
139506,MH,2020-03-25,Order,Wireless Keyboard,Keyboard,Dell,2,2300,2990,Vijay Singh,690,23.08,2020,3,0
139507,MH,2020-03-25,Processing,USB Mouse,Mouse,Samsung,3,1050,1365,Aadil Khan,315,23.08,2020,3,0
139508,MH,2020-03-25,Delivered,19 LED Display,Monitor,Dell,4,38000,49400,Advika Joshi,11400,23.08,2020,3,1
139509,MH,2020-03-25,Shipped,6 TB HDD,HDD,Western Digital,4,40000,52000,Ajay Sharma,12000,23.08,2020,3,0
139510,MH,2020-03-25,Order,516 GB M.2,SSD,Samsung,1,6500,8450,Roshan Kumar,1950,23.08,2020,3,0
139511,MH,2020-03-25,Processing,RYZEN 3rd gen. 3504,CPU,Intel,3,25500,33150,Aarvi Gupta,7650,23.08,2020,3,0
139512,MH,2020-03-25,Delivered,2GB Graphic Card,Graphic Card,Nvidia,3,21000,27300,Vijay Singh,6300,23.08,2020,3,1
139513,TN,2020-03-25,Shipped,20 GB DDR4 RAM,Cabinet,Hynix,3,19650,25545,Aadil Khan,5895,23.08,2020,3,0
139514,TR,2020-03-25,Order,Standard ATX motherboard,Mouse,Gigabyte,4,30600,39780,Advika Joshi,9180,23.08,2020,3,0
139515,AN,2020-03-26,Processing,Compact with 1 Fan,Cabinet,Asus,2,2300,2990,Ajay Sharma,690,23.08,2020,3,0
139516,CH,2020-03-26,Delivered,USB Backlight Keyboard,Keyboard,Dell,2,1700,2210,Aadil Khan,510,23.08,2020,3,1
139517,DH,2020-03-26,Shipped,Ergonomic Mouse,Mouse,Samsung,1,650,845,Advika Joshi,195,23.08,2020,3,0
139518,DD,2020-03-26,Order,15 LCD Display,Monitor,Dell,2,15000,19500,Ajay Sharma,4500,23.08,2020,3,0
139519,DL,2020-03-26,Processing,6 TB HDD,HDD,Seagate,1,10000,13000,Roshan Kumar,3000,23.08,2020,3,0
139520,LD,2020-03-26,Delivered,5 TB SSD,SSD,Samsung,2,21000,27300,Aarvi Gupta,6300,23.08,2020,3,1
139521,PY,2020-03-26,Shipped,Intel i5 12th gen.,CPU,Intel,1,8500,11050,Vijay Singh,2550,23.08,2020,3,0
139522,OR,2020-03-26,Order,2GB Graphic Card,Graphic Card,Nvidia,4,28000,36400,Aadil Khan,8400,23.08,2020,3,0
139523,PB,2020-03-26,Processing,8 GB DDR4 Ram,Cabinet,Hynix,2,3360,4368,Advika Joshi,1008,23.08,2020,3,0
139524,RJ,2020-03-26,Delivered,Micro ATX motherboard,Mouse,MSI,3,19620,25506,Ajay Sharma,5886,23.08,2020,3,1
139525,SK,2020-03-26,Shipped,Gaming Box Cabinet,Cabinet,Asus,1,2680,3484,Roshan Kumar,804,23.08,2020,3,0
139526,TN,2020-03-26,Order,17 LCD Display,Monitor,Samsung,4,33000,42900,Aarvi Gupta,9900,23.08,2020,3,0
139527,TR,2020-03-26,Processing,12 GB DDR4 RAM,RAM,Samsung,4,10600,13780,Vijay Singh,3180,23.08,2020,3,0
139528,UK,2020-03-26,Delivered,26 LCD Display,Monitor,Acer,4,50200,65260,Aadil Khan,15060,23.08,2020,3,1
139529,UP,2020-03-26,Shipped,I7 - intel 12th Generation,CPU,Intel,1,14500,18850,Advika Joshi,4350,23.08,2020,3,0
139530,WB,2020-03-27,Order,USB Keyboard,Keyboard,Dell,4,3200,4160,Ajay Sharma,960,23.08,2020,3,0
139531,TN,2020-03-27,Processing,Wireless Mouse,Mouse,Samsung,2,1200,1560,Roshan Kumar,360,23.08,2020,3,0
139532,TR,2020-03-27,Delivered,21 LCD Display,Monitor,Dell,1,10500,13650,Aarvi Gupta,3150,23.08,2020,3,1
139533,AN,2020-03-27,Shipped,6 TB HDD,HDD,Western Digital,3,19500,25350,Vijay Singh,5850,23.08,2020,3,0
139534,CH,2020-03-27,Order,261 GB SSD,SSD,Samsung,1,4500,5850,Aadil Khan,1350,23.08,2020,3,0
139535,DH,2020-03-27,Processing,Intel i3 11th gen.,CPU,Intel,4,34000,44200,Advika Joshi,10200,23.08,2020,3,0
139536,DH,2020-03-27,Delivered,4GB Graphic card,Graphic Card,Nvidia,1,12500,16250,Ajay Sharma,3750,23.08,2020,3,1
139537,DH,2020-03-27,Shipped,13 GB DDR4 RAM,NIC,Hynix,2,7000,9100,Roshan Kumar,2100,23.08,2020,3,0
139538,DH,2020-03-27,Order,BTX motherboard,Printer,Gigabyte,3,13500,17550,Aarvi Gupta,4050,23.08,2020,3,0
139539,DH,2020-03-27,Processing,8 Fans Cabinet,Cabinet,Asus,4,8400,10920,Vijay Singh,2520,23.08,2020,3,0
139540,DH,2020-03-27,Delivered,Wireless Keyboard,Keyboard,Dell,3,3450,4485,Aadil Khan,1035,23.08,2020,3,1
139541,PB,2020-03-27,Shipped,USB Mouse,Mouse,Samsung,4,1400,1820,Advika Joshi,420,23.08,2020,3,0
139542,RJ,2020-03-27,Order,19 LED Display,Monitor,Dell,4,38000,49400,Ajay Sharma,11400,23.08,2020,3,0
139543,SK,2020-03-27,Processing,7 TB HDD,HDD,Western Digital,2,20000,26000,Roshan Kumar,6000,23.08,2020,3,0
139544,TN,2020-03-27,Delivered,517 GB M.2,SSD,Samsung,4,26000,33800,Aarvi Gupta,7800,23.08,2020,3,1
139545,TR,2020-03-27,Shipped,RYZEN 3rd gen. 3505,CPU,Intel,2,17000,22100,Vijay Singh,5100,23.08,2020,3,0
139546,UK,2020-03-27,Order,2GB Graphic Card,Graphic Card,Nvidia,3,21000,27300,Aadil Khan,6300,23.08,2020,3,0
139547,UP,2020-03-27,Processing,21 GB DDR4 RAM,NIC,Hynix,2,13100,17030,Advika Joshi,3930,23.08,2020,3,0
139548,WB,2020-03-27,Delivered,Standard ATX motherboard,Printer,Gigabyte,2,15300,19890,Ajay Sharma,4590,23.08,2020,3,1
139549,TN,2020-03-27,Shipped,Compact with 1 Fan,Cabinet,Asus,3,3450,4485,Aarvi Gupta,1035,23.08,2020,3,0
139550,TR,2020-03-27,Order,USB Backlight Keyboard,Keyboard,Dell,1,850,1105,Vijay Singh,255,23.08,2020,3,0
139551,AN,2020-03-27,Processing,Ergonomic Mouse,Mouse,Samsung,4,2600,3380,Aadil Khan,780,23.08,2020,3,0
139552,CH,2020-03-27,Delivered,15 LCD Display,Monitor,Dell,1,7500,9750,Advika Joshi,2250,23.08,2020,3,1
139553,DH,2020-03-27,Shipped,7 TB HDD,HDD,Seagate,1,10000,13000,Ajay Sharma,3000,23.08,2020,3,0
139554,DD,2020-03-27,Order,6 TB SSD,SSD,Samsung,3,31500,40950,Roshan Kumar,9450,23.08,2020,3,0
139555,DL,2020-03-27,Processing,Intel i5 12th gen.,CPU,Intel,1,8500,11050,Aarvi Gupta,2550,23.08,2020,3,0
139556,LD,2020-03-27,Delivered,2GB Graphic Card,Graphic Card,Nvidia,3,21000,27300,Vijay Singh,6300,23.08,2020,3,1
139557,PY,2020-03-27,Shipped,9 GB DDR4 Ram,NIC,Hynix,2,3360,4368,Aadil Khan,1008,23.08,2020,3,0
139558,OR,2020-03-27,Order,Micro ATX motherboard,Printer,MSI,3,19620,25506,Advika Joshi,5886,23.08,2020,3,0
139559,PB,2020-03-27,Processing,Gaming Box Cabinet,Cabinet,Asus,3,8040,10452,Ajay Sharma,2412,23.08,2020,3,0
139560,RJ,2020-03-27,Delivered,17 LCD Display,Monitor,Samsung,4,33000,42900,Aarvi Gupta,9900,23.08,2020,3,1
139561,SK,2020-03-27,Shipped,13 GB DDR4 RAM,RAM,Samsung,4,10600,13780,Vijay Singh,3180,23.08,2020,3,0
139562,TN,2020-03-28,Order,26 LCD Display,Monitor,Acer,4,50200,65260,Aadil Khan,15060,23.08,2020,3,0
139563,TR,2020-03-28,Processing,I7 - intel 12th Generation,CPU,Intel,1,14500,18850,Advika Joshi,4350,23.08,2020,3,0
139564,UK,2020-03-28,Delivered,USB Keyboard,Keyboard,Dell,4,3200,4160,Ajay Sharma,960,23.08,2020,3,1
139565,UP,2020-03-28,Shipped,Wireless Mouse,Mouse,Samsung,2,1200,1560,Roshan Kumar,360,23.08,2020,3,0
139566,UP,2020-03-28,Order,21 LCD Display,Monitor,Dell,1,10500,13650,Aarvi Gupta,3150,23.08,2020,3,0
139567,UP,2020-03-28,Processing,7 TB HDD,HDD,Western Digital,4,26000,33800,Vijay Singh,7800,23.08,2020,3,0
139568,UP,2020-03-28,Delivered,262 GB SSD,SSD,Samsung,2,9000,11700,Aadil Khan,2700,23.08,2020,3,1
139569,UP,2020-03-28,Shipped,Intel i3 11th gen.,CPU,Intel,3,25500,33150,Advika Joshi,7650,23.08,2020,3,0
139570,UP,2020-03-28,Order,4GB Graphic card,Graphic Card,Nvidia,2,25000,32500,Ajay Sharma,7500,23.08,2020,3,0
139571,UP,2020-03-28,Processing,14 GB DDR4 RAM,RAM,Hynix,4,14000,18200,Roshan Kumar,4200,23.08,2020,3,0
139572,UP,2020-03-28,Delivered,BTX motherboard,MotherBoard,Gigabyte,2,9000,11700,Aarvi Gupta,2700,23.08,2020,3,1
139573,UP,2020-03-28,Shipped,9 Fans Cabinet,Cabinet,Asus,1,2100,2730,Vijay Singh,630,23.08,2020,3,0
139574,LD,2020-03-28,Order,Wireless Keyboard,Keyboard,Dell,1,1150,1495,Aadil Khan,345,23.08,2020,3,0
139575,PY,2020-03-28,Processing,USB Mouse,Mouse,Samsung,2,700,910,Advika Joshi,210,23.08,2020,3,0
139576,OR,2020-03-28,Delivered,19 LED Display,Monitor,Dell,2,19000,24700,Ajay Sharma,5700,23.08,2020,3,1
139577,PB,2020-03-28,Shipped,8 TB HDD,HDD,Western Digital,4,40000,52000,Roshan Kumar,12000,23.08,2020,3,0
